,,,,,
A3,1,monster_assisted,OK,21,Noble {party} helped our hero {player} to defeat {monster}
,2,,,,With {party}’s assist our smart {player} massacred {monster}
,3,,,,{player} was hit by dreadful {monster} but with {party} support monster was killed
,4,,,,{player} and {party} looked for experience and meet {monster}. After short battle our heroes killed him
,5,,,,{party} assisted noble {player} to kill {monster}
,6,,FAIL,210,Party of {party} and {player} was eaten by hungry {monster}
,7,,,,{player} and {party} were massacred by strong {monster}
,8,,,,{monster} protected himself and kill {party} and ate {player}’s head
,9,,,,{monster} was confused by new {player}’s and {party}‘s tactics but killed them anyway
,10,,,,{monster} killed party and made souvenirs from {party}’s and {player}’s skulls
,,,,,
A9,1,go_to_dungeon_assisted,OK,8,{player} defeated {monster} in {dungeon} with {party}’s assist
,2,,,,{monster} in {dungeon} was broken by {player} and {party}
,3,,,,{party} helped {player} to kill {monster} in {dungeon}
,4,,,,{party} and {player} scared {monster} in {dungeon} and he ran away
,5,,,,Dazed {monster} by {party} was killed by {player} in {dungeon}
,6,,FAIL,80,{player} and {party} lost their heads during battle with {monster} in {dungeon}
,7,,,,{monster} from {dungeon} made nice necklace from {player}’s and {party}’s fingers
,8,,,,{player} was killed by {monster} in {dungeon}. As well as {party}
,9,,,,{monster} broke all {player}’s bones and drunk all {party}’s blood in {dungeon}
,10,,,,{monster} killed unlucky {party} and {player} in {dungeon}
,,,,,
A13,1,players_meet,OK,430,{player} met {party} in the tavern and listened some news about changes in game’s rules
,2,,,,{party} told {player} new tactics versus monsters
,3,,,,{party} showed his face book to {player} 
,4,,,,{player} listened {party} carefully about new Tweeria releases and updates 
,5,,,,Funny {party} helped {player} to earn some money by dancing
,6,,FAIL,440,Sad {party} found {player} in the village and make him sad too
,7,,,,{player} met cursed {party} and banished him 
,8,,,,{party} wanted to demonstrated his magic skills to {player} but forgot how to cast
,9,,,,{party} invited {player} to fight training but broke his legs before it starts
,10,,,,{party} and {player} met kangaroo and fed it
,,,,,
A14,1,pvp_players_meet,OK,450,{party} stole some gold coins from {player}’s bags
,2,,,,{player} was tricked by cunning {party}
,3,,,,{party} found {player}’s keys for treasure chest
,4,,,,{player}’s favorite camel was hijacked by drunken {party}
,5,,,,Fast {party} hid {player}’s sword in the tavern
,6,,FAIL,460,{party} can’t stole anything from {player}’s pockets
,7,,,,Forgetful {party} decided to fight with {party} but forgot his password
,8,,,,{player} presented acid platypus to {party} as a gift
,9,,,,{player} changed PIN to {party}’s treasure chest
,10,,,,Brutal {player} stole {party}’s favorite cow
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
